text,label
"""I hear what you sayin gurl but you mean to tell me you caint have friends??"" *insert piss poor false sincerity here*",1
aww that sucks man. you've learned a lesson for your kids... leave'em in the cold or spare key under the poinsetta pot,1
damn.. maybe ur next twitmance will be whole ass..,1
ahh damn it: Action 12.1.5.0 of Microsoft.SharePoint.Upgrade.SPSearchDatabaseSequence failed. and i didn't snap shot my VM DOH!,1
ahh  you might be on to something...damn techies,1
 What would you do if your partner cheated on you?,0
  physical? hmm..uhh I guess that would be when I crashed going wayyy to fast down a hill on rollerblades in a dress and I fell into dirt that was better than concret but sure felt just as hard. Scraped all my legs  elbows and hands up. It hurt lol,0
Ugh. Probably the same brain-deficient retard who stole my name on Youtube  Gaia  and all the faggy sites. How old is she?,1
I'd jam with you if you ever kicked some nobodies off your damn friends list   lol,0
what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,1
i bitch slapped my cousin once.,1
I hate ism's as much as the next guy but when the shoe fits...,1
damn  that is pimp!,1
Lot of folk hate process. Hope you've got management support or you'll go mad. RU implmenting an ITIL type meth or cleaning up chaos,0
I hate when I text somebody and they immediately call me.  Hey fuckface  if I wanted to hear your ugly voice I would have called you!,1
  Idk. what makes me a hottie? haha,0
whats the operating system on it? i have windows vista and vista sucks bad..it is full of bugs still. shuts down and freezing alot,1
he is a twittering madman  right? damn. he's like 70% of my home page and I am following 300+ people lol,0
BTW TaskPaper  you were damn close. My sanity cannot allow me to try any more GTD apps. (not a few weeks anyway). HitList????,0
Coltrane video kicks some ass. I can't get text zooms and pans as smooth as yours. What prog. did you use again?,0
I will still phail at sports XD  And that sucks :( Stupid headphones.,0
:( PS3's are fantastic devices. Kicks XBOX's ass :D,1
att is run by the devil  i hate them,1
 Can you daydream at night?,0
i had eyeliner on once but it kept smearing cause i'd fuck with it too much,1
they won't let us live anywhere without coming up our ass. I want to move  now ):A,1
damn  pete!i havent seen u in so long  iz about to send out the St. Bernards. particularly cuz they bring bourbon and such. u good?,0
ohh damn bummer,1
i'm not emo. I'm fucking happy!,1
 Name a song you know all the lyrics to.,0
That sucks dude!,1
  ewww why would you wanna know this shit,0
Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.,1
 Have you ever been to South America or Africa?,0
I'm really sorry I can't help with your cravings. FIND SOME PEOPLE TO CLICK ON THE DAMN PORTAL. Seriously raid warnings work.,0
wat a fag....,1
  okayyy,0
that sucks. Why is your vision all messed up?,0
  Yes Sure. Why would you spam that? do you not have a bf?,0
yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,1
 i love youu chica!<33,0
i bitch slapped my cousin once.,1
  People keep talking about me on your page :/,0
  Thats a hard 1 . . . *thinkin* Maybe Bustin Jieber? I think! haha,0
I wanna butt fuck you. Cuz im a horny gremlin,1
bitch you wish.,1
God damn it  Louis!,1
i just hate it when i have brilliant ideas and don't record them. the ones i do record are just never as good ...,0
 Do you like your name?,0
 lyrics for You Should Have Killed Me When You Had The Chance ADTR,0
"the lox ""f**k you "" ""keep it thoro"" prodigy  ""we run this"" fat joe  ""i come thru"" styles and nore  ""broken language"" smooth",1
a bitch cant stand drunks tonight!! but if they tip good I might be coo! LMFAOOO!,0
 nom nom,0
damn  won't be going to that.,1
there should be pictures of him at fucking otaku's cosplay section,1
man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,1
lol penelope died?? thats so depressive  i have a compaq it sucks  i dont have a name for my computer tho : ),1
 guess what you should do? GET A LIFE. I don&;t even know you so why would you even start shit with me?! Seriously  you must be a bit messed up in the head. Pathetic.,1
my programs is telling me the same damn thing. WTH!?!,1
Well  I would  but once Christmas is over  it kinda sucks the life outta the Santa hat thing...,1
you won't die in Queens we're civilized here in Queens  hell there's a Starbucks & McDonald's on damn near every corner  have fun,1
Fuck it! You'll do it live!,0
mate u know there are french umbracians out there cg09 u may get ur ass whupped :-},1
 What was the worst concert you went to?,0
really? Thank fucking god for sleeping pills!,1
i hate people sometimes-today is one of those more than usual days,1
in the lab...all damn day  i had soooo much work to do:(,1
Lolol well i hate u. K thx &lt;3,1
haha cunt.,1
psh bitch I'm at work running 2 trains with a 70 minute wait stupid kids and dumber parents I don't wanna hear it,1
 Damn him!!  Oh well...worth a try.,0
  YESSSSSS. i love to dance :],0
 1. Are you fake? 2. Who&;s Cheyenne  Taylor  Tarren  Samantha  Jessica. 3. Do you live in Montana? Cheyenne is the real one. 4. She also has videos of her in school etc. Why is your pics in photobucket,0
The nerd store? For nerds?,0
Get your ass home LOL,0
what happens when someone tells u gators suck ass lmao. U pull a gun or stab them to death???,1
 I&;m not a creepy stalker. Just everyone fucking hates you so everyone knows what you fucking do. You remind me of Harmony Flashpink but uglier and alittle more pathetic. Everyone knows you fake yourself and other girls  and you want attention. Dumbfuck.,1
damn i hate Ed Hardy,1
way to damn hard,1
fuck...I forgot,0
that's ri god damn dick ulouse! Tasty though. Haha,1
pig pen is hotter :P,0
what the fuck do you have to apologize for??,1
Why does CHUD hate kids so much? 10 years from now  they're your readers!,1
  ever since jordin albertsons like deleted her formspring or something  all the mean comments have stopped haha,0
damn I forgot to fully charge my iPhone so I can't even puzzle quest :(.  Crappy blackout!  Hope everyone is safe!,0
Well that sucks.,1
whelchers fuckin suck ass!,1
Damn how u burn spaghetti?,1
HAPPY FUCKING BDAY YOU OLD MAN!!!!!! &lt;3333333333 CELEBRATE TONIGHT WITH A TALL COLD ONE :) wooo!,1
cluster fuck indeed.,1
 What does shaving cream taste like?,0
oh no  I always try to make my desk look neat. Fail whale. There are always newspapers piling up  cables are worse!,1
  jennifer aniston/vince vaughan,0
"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""",1
