,train_task_0,train_task_1,test_task_0,test_task_1,phase
0,,0.5208333333333334,,0.55875,0
1,,0.5351041666666667,,0.5304166666666666,0
2,,0.5357291666666667,,0.51875,0
3,,0.5416666666666666,,0.5833333333333334,0
4,,0.5514583333333334,,0.5258333333333334,0
5,0.5357291666666667,,0.5416666666666666,0.5279166666666667,1
6,0.555625,,0.5416666666666666,0.5279166666666667,1
7,0.5616666666666666,,0.5754166666666667,0.5254166666666666,1
8,0.5678125,,0.5708333333333333,0.52625,1
9,0.5733333333333334,,0.5445833333333333,0.52875,1
10,0.5777083333333334,,0.5783333333333334,0.51375,2
11,0.5853125,,0.57125,0.5679166666666666,2
12,0.5834375,,0.575,0.5195833333333333,2
13,0.5880208333333333,,0.5754166666666667,0.5454166666666667,2
14,0.5848958333333333,,0.565,0.5520833333333334,2
